dtv,s000,s001,s002,s003,s004,s005,s006
45860,2.0,,,,,,
45861,,6.0,,6.0,,,
45862,,45.0,,,,,
45863,,,45.0,,,,
45864,,,,,,,
45864,,,,,,,
45864,,,,,,,
45864,,,,,,,
45864,,,,,,,
