nm0,nm1,nm2,nm3,nm4,nm5,nm6,nm7,nm8,nm9,nm10,nm11,nm12,nm13,nm14,nm15,nm16,nm17,nm18
attrbt1,,,,,,,,,,,,,,,,,,
attrbt2,,,,,,,,,,,,,,,,,,
attrbt3,,,,,,,,,,,,,,,,,,
attrbt4,,,,,,,,,,,,,,,,,,
attrbt5,,,,,,,,,,,,,,,,,,
attrbt6,,,,,,,,,,,,,,,,,,
attrbt7,,,,,,,,,,,,,,,,,,
attrbt8,,,,,,,,,,,,,,,,,,
attrbt9,,,,,,,,,,,,,,,,,,
attrbt10,,,,,,,,,,,,,,,,,,
attrbt11,,,,,,,,,,,,,,,,,,
attrbt12,,,,,,,,,,,,,,,,,,
attrbt13,,,,,,,,,,,,,,,,,,
attrbt14,,,,,,,,,,,,,,,,,,
attrbt15,,,,,,,,,,,,,,,,,,
attrbt16,,,,,,,,,,,,,,,,,,
attrbt17,,,,,,,,,,,,,,,,,,
attrbt18,,,,,,,,,,,,,,,,,,
attrbt19,,,,,,,,,,,,,,,,,,
attrbt20,,,,,,,,,,,,,,,,,,
attrbt21,,,,,,,,,,,,,,,,,,
attrbt22,,,,,,,,,,,,,,,,,,
attrbt23,,,,,,,,,,,,,,,,,,
attrbt24,,,,,,,,,,,,,,,,,,
attrbt25,,,,,,,,,,,,,,,,,,
attrbt26,,,,,,,,,,,,,,,,,,
attrbt27,,,,,,,,,,,,,,,,,,
attrbt28,,,,,,,,,,,,,,,,,,
attrbt29,,,,,,,,,,,,,,,,,,
attrbt30,,,,,,,,,,,,,,,,,,
attrbt31,,,,,,,,,,,,,,,,,,
attrbt32,,,,,,,,,,,,,,,,,,
